trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
168,False,"{'a': 0.7, 'e': 0.002976190476190476}",35,21,27.16500742871028,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.7, 'e': 0.0029585798816568047}",25,0,39.161076775962435,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
170,False,"{'a': 0.7, 'e': 0.0029411764705882353}",25,13,20.862827759255193,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.7, 'e': 0.0029239766081871343}",20,7,19.11986399432619,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.7, 'e': 0.0029069767441860465}",25,15,19.09533771866421,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.7, 'e': 0.002890173410404624}",20,0,29.52713589173844,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
174,False,"{'a': 0.7, 'e': 0.0028735632183908046}",20,14,11.237672879384817,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.7, 'e': 0.002857142857142857}",20,16,5.991082405965356,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.7, 'e': 0.002840909090909091}",20,0,33.31781194108197,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
177,False,"{'a': 0.7, 'e': 0.002824858757062147}",20,5,26.24097177953845,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.7, 'e': 0.0028089887640449437}",25,16,17.0717725031797,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.7, 'e': 0.002793296089385475}",35,27,15.453813064360176,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.7, 'e': 0.002777777777777778}",25,7,24.199552288351857,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.7, 'e': 0.0027624309392265192}",25,12,22.834896717155956,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.7, 'e': 0.0027472527472527475}",20,14,10.014937713065638,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.7, 'e': 0.00273224043715847}",25,15,18.14440531930673,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.7, 'e': 0.002717391304347826}",30,0,38.51405205352874,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.7, 'e': 0.002702702702702703}",20,12,11.96754124815996,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.7, 'e': 0.002688172043010753}",25,8,30.529041156390385,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.7, 'e': 0.00267379679144385}",30,4,43.73834244830858,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.7, 'e': 0.0026595744680851063}",20,1,32.29096823556891,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.7, 'e': 0.0026455026455026454}",20,10,21.823286727027575,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.7, 'e': 0.002631578947368421}",25,15,17.937774320118574,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.7, 'e': 0.002617801047120419}",20,0,28.7481303081366,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
